state.state_name,blockgroup.high_school_diploma,blockgroup.less_one_year_college,blockgroup.associates_degree,blockgroup.bachelors_degree,blockgroup.masters_degree,blockgroup.one_year_more_college
Alabama,838776,199534,273493,515443,221842,514121
Alaska,107913,35716,40052,88053,36794,93703
Arizona,927855,352036,398147,835120,362611,820125
Arkansas,557808,136060,139070,288720,115355,315304
California,4786892,1498152,2051313,5445781,2222636,4083998
Colorado,657022,232804,314214,944470,409786,570533
Connecticut,591158,129622,190869,538924,309751,286645
Delaware,187042,39834,51522,120794,62275,85352
District of Columbia,70723,16914,14637,118817,100571,45704
Florida,3616947,941022,1438630,2721635,1081844,2022451
Georgia,1566284,379243,518144,1282947,564866,1014998
Hawaii,251280,55742,105186,212053,72121,152114
Idaho,242641,93908,104333,198648,65700,193205
Illinois,1955687,568857,692622,1801833,847698,1230951
Indiana,1248789,293011,382510,727108,304487,605831
Iowa,565437,152796,238423,395820,132751,288291
Kansas,415835,152303,161016,394462,168742,289742
Kentucky,787966,199735,244802,415937,211163,428500
Louisiana,889374,169443,186448,483170,173858,486729
Maine,260693,59404,96570,190172,78014,130205
Maryland,894293,244463,273518,877641,522662,534708
Massachusetts,1019399,228477,365103,1128877,637628,512307
Michigan,1695208,515266,636753,1179677,559642,1074799
Minnesota,814573,250536,424424,871363,315403,541561
Mississippi,474505,116918,184334,266274,116055,323976
Missouri,1076664,298310,323751,729543,329182,624735
Montana,175345,48081,64097,148624,52011,121715
Nebraska,283361,93059,130043,258291,92723,192857
Nevada,483098,149930,163699,317510,116743,365081
New Hampshire,223340,58100,96387,213277,101226,119591
New Jersey,1530024,309670,401069,1457910,671274,710066
New Mexico,303626,85994,114664,213129,116002,241381
New York,3020851,634196,1184265,2748577,1541679,1503643
North Carolina,1482960,434625,652658,1345846,543580,1045166
North Dakota,113235,30831,67212,105552,26902,79736
Ohio,2333362,543607,681630,1370810,613112,1080640
Oklahoma,677212,191733,198903,428829,157907,415100
Oregon,530622,232529,249852,583144,247490,499948
Pennsylvania,2784595,487407,741590,1661705,774543,939376
Puerto Rico,599597,36342,235051,428310,117015,255778
Rhode Island,172787,42214,61136,145595,69830,90873
South Carolina,847337,202163,324446,588965,250813,496341
South Dakota,147729,36032,65075,112426,34166,84293
Tennessee,1198201,287384,323928,762299,311861,655225
Texas,3660917,1106617,1261050,3409836,1321019,2785910
Utah,355712,141143,173766,391237,144145,323812
Vermont,112989,23545,37513,97034,47484,53652
Virginia,1154825,346434,436970,1244489,692598,766185
Washington,917800,375788,501449,1104621,471410,807708
West Virginia,436424,77117,91975,158032,75727,163476
Wisconsin,1077539,264540,422227,762210,285851,549888
Wyoming,91927,32098,42835,67697,26978,70138
